Subject,Number,Name,Section Title,Fall,Spring,Summer
ADV,199,Undergraduate Seminar,Exploring Media & Advertising,True,False,False
ADV,199,Undergraduate Seminar,The Communications Industry,True,True,False
ADV,200,Data Literacy,,True,True,False
ADV,201,Social Media and Personal Branding,,True,True,False
ADV,250,Advertising and Brand Strategy,,True,True,False
ADV,270,Principles of Sales,,True,True,False
ADV,281,Advertising Research Methods,,True,True,True
ADV,283,Advertising and Brand Strategy,,True,True,False
ADV,284,Consumer Insight,,True,True,False
ADV,290,Special Topics in Advertising,AI and Advertising,False,True,False
ADV,290,Special Topics in Advertising,Adventures in Creative,True,False,False
ADV,290,Special Topics in Advertising,Becoming an Influencer,False,True,False
ADV,290,Special Topics in Advertising,Cultural Intelligence,True,False,False
ADV,290,Special Topics in Advertising,Social Media & Personal Brand,True,True,False
ADV,290,Special Topics in Advertising,Social Media for Soc Justice,False,True,False
ADV,290,Special Topics in Advertising,Social Media for Social Justce,True,False,False
ADV,301,Becoming an Influencer,,True,True,False
ADV,305,Advertising Technology and the Digital World,,True,True,False
ADV,305,"Digital Advertising Content, Technologies and Concepts",,False,True,False
ADV,310,Intro to Public Relations,,True,True,True
ADV,311,Classic Campaigns,,False,True,False
ADV,314,Sports Public Relations,,True,True,False
ADV,320,Sales Management,,True,True,False
ADV,333,Agency Experience,,True,False,False
ADV,350,Writing for Public Relations,,True,True,False
ADV,360,Innovations in Advertising,,True,True,False
ADV,370,Sales and the Consumer,,True,True,False
ADV,390,Content Creation,,True,True,False
ADV,392,Advertising Immersion,Amazon Advertising,True,True,False
ADV,393,Advertising and Society,,True,True,False
ADV,396,Research Experience in Advertising,,True,True,False
ADV,399,Advertising Study Abroad,E&R:Adv Global Culture&Tourism,False,True,False
ADV,400,Special Problems,,True,True,True
ADV,400,Special Problems,Adv Strat in Digital Media,True,False,False
ADV,400,Special Problems,Amazon Advertising Experience,True,False,False
ADV,400,Special Problems,Copywriting,False,True,False
ADV,400,Special Problems,NSAC Campaign,False,True,False
ADV,400,Special Problems,NSAC Course,True,False,False
ADV,400,Special Problems,Sandage Studios,True,True,False
ADV,409,Media Entrepreneurship,,True,True,False
ADV,410,Public Relations Strategies,,True,True,False
ADV,452,Creative Concepts I,,True,False,False
ADV,454,Creative Concepts II,,False,True,False
ADV,460,Innovation in Advertising,,False,True,False
ADV,460,Innovations in Advertising,,True,True,False
ADV,461,Computational Advertising,,False,True,False
ADV,462,Computational Advertising Infrastructure,,False,True,False
ADV,476,Global Advertising,,False,True,False
ADV,478,Psychology of Advertising,,True,True,False
ADV,480,Social Media Analytics,,True,True,False
ADV,483,Audience Analysis,,True,True,False
ADV,490,Advanced Special Topics in Advertising,Adv Strategies for Online Bus,False,True,False
ADV,490,Advanced Special Topics in Advertising,Advanced Ecommerce Advertising,True,False,False
ADV,490,Advanced Special Topics in Advertising,Amazon Advertising,True,True,False
ADV,490,Advanced Special Topics in Advertising,Building an Audience,False,True,False
